rating,stars,pitches,type,city,state
La Fissure,5.4 PG13,2.0,1,Trad,North America,International
The Hive Dyno,V5,4.0,,Boulder,Southwest Virginia,Virginia
Guns and Roses,V3,2.0,,Boulder,Cape Ann,Massachusetts
Sacred Land,V0,2.3,,Boulder,Joshua Tree National Park,California
Coyote,V0,2.0,,Boulder,Joshua Tree National Park,California
Feel the Grit,V5,3.0,,Boulder,Joshua Tree National Park,California
Ranger Rick,V4,3.0,,Boulder,Independence Pass,Colorado
John Henry's Hammer,5.10,4.0,1,Trad,Willamette Valley,Oregon
Happy's Favorite,5.10b,1.0,1,Trad,Yosemite National Park,California
Matterhorne,5.4,3.0,1,"Sport, TR",Europe,International
El Diedro,5.7,2.0,1,"Sport, TR",Europe,International
The Onramp,5.10,3.0,1,Trad,WM: Bartlett / Jackson Area,New Hampshire
Neurotoxin,V2,3.0,,Boulder,Snake Den,Rhode Island
Gipfel,5.8,2.0,1,"Trad, TR",Joshua Tree National Park,California
Sinbad,5.11a/b PG13,3.3,1,Sport,Acadia National Park,Maine
North Face,5.6 R,2.0,1,Trad,Gunnison,Colorado
Sweet Tits,5.10b,3.0,,Sport,Sierra Eastside,California
Flash-Bang,5.11d,3.0,1,Sport,The New River Gorge,West Virginia
Anger Management,5.9+,4.0,1,Trad,The Needles Of Rushmore,South Dakota
Crosstown,5.12a,4.0,1,Sport,Fort Collins,Colorado
Cazomienzo,5.7,3.0,,"Sport, TR",North America,International
National corners stone,5.9,3.0,,"Sport, TR",North America,International
Sin nombre IV,5.10b,3.0,,"Sport, TR",North America,International
Zig zag,5.10b,3.0,,"Sport, TR",North America,International
Six Bag,5.10c,3.0,,"Sport, TR",North America,International
Northeast Edge,V0 PG13,3.0,,Boulder,Vogel Canyon,Colorado
Center Overhang Direct,V5,4.0,,Boulder,Vogel Canyon,Colorado
"Girls Who Say ""Dude""",5.10b,4.0,1,Sport,Central Region,Washington
Soup's On,5.8-,3.0,1,Sport,Central Region,Washington
Disillusioned Reality free variation,5.10 PG13,3.5,1,Trad,Boulder,Colorado
Valhalla,5.12-,5.0,6,Trad,Northern Arizona,Arizona
Morgan Crack,V0 PG13,4.0,,Boulder,San Jacinto Mountains,California
Albi's Undercling,V1,2.0,,Boulder,Pocatello Area Bouldering,Idaho
El Pedo Loco,5.11d,4.5,,Sport,North America,International
Love Ya Babes,V2,5.0,,Boulder,Lake Tahoe,California
Raptor,5.11a,4.0,1,Sport,Southern Sierra,California
Don't Let Go,V6,0.0,,Boulder,Asia,International
Fallon,5.9,3.0,1,Sport,Rifle,Colorado
The Journey,5.10a,3.7,1,Sport,Rifle,Colorado
Physicality,V6,3.0,,Boulder,Wasatch Range,Utah
Birdman!,V5+ PG13,4.0,,Boulder,The Northwest,Pennsylvania
Same Eyed Sun,V3,3.0,,Boulder,Grand Junction Area,Colorado
Witness the Weakness,5.11+,3.0,,Sport,Mount Charleston,Nevada
Center Crack,5.6,5.0,1,"Trad, TR",Southern Sierra,California
Right Crack,5.6,4.0,1,"Trad, TR",Southern Sierra,California
Cover Girl,5.5 PG13,3.0,1,Trad,WM: Kancamagus (Eastern),New Hampshire
Air Satan,V8,3.0,,Boulder,Closed,North Carolina
Royal-D,5.10a,3.5,,Sport,Asia,International
Traverse,V2,0.0,,Boulder,Fort Collins,Colorado
Sit Start Roof,V2,3.0,,Boulder,Fort Collins,Colorado
Silence,V5 R,0.0,,Boulder,Fort Collins,Colorado
Lizard Tamer,V7,0.0,,Boulder,Fort Collins,Colorado
Prognosis,V2,3.0,,Boulder,Pocatello Area Bouldering,Idaho
Slumber Party,5.10d,3.5,1,Sport,Southern Sierra,California
Tummy Kittens in Space,5.10a,3.5,1,Sport,Barn Bluff (Red Wing),Minnesota
West Face,5.4,2.0,1,"Trad, TR",Devil's Lake,Wisconsin
Butterfingers,5.8,3.0,1,Sport,Los Angeles Basin,California
Big Moe,5.7 PG13,3.0,3,Trad,North America,International
Unspeakable,5.11a,3.0,1,Sport,Sierra Eastside,California
Escapade Buttress,5.9,4.0,1,Sport,Sierra Eastside,California
The Mooring,V2,3.0,,Boulder,Lakes Region,New Hampshire
Blasphemy,V5,4.0,,Boulder,Closed,North Carolina
Slamdance,5.12a,4.0,2,Trad,Yosemite National Park,California
Hess,V3,2.5,,Boulder,San Diego County,California
Group Effort,5.10d,4.0,1,Sport,Mount Charleston,Nevada
El Cruz,5.12b,3.9,1,Sport,Rifle,Colorado
Foxhole Conversion,5.13b,4.0,1,Sport,Rifle,Colorado
El techito,5.10a/b,3.0,1,Sport,North America,International
La negra,5.12-,3.0,1,Sport,North America,International
Whispering Meadows,V4-,3.0,,Boulder,Spring Pond Woods,Massachusetts
B'ing There,5.6,2.0,1,"Trad, TR",South Platte,Colorado
Unwinding the Transaction,5.10b,3.5,1,TR,Powerlinez,New York
Emerging Prominence,5.7+,3.5,1,TR,Powerlinez,New York
Sudden Exponential,5.8,3.5,1,TR,Powerlinez,New York
The Stig,V0,3.3,,Boulder,San Diego County,California
Rodger 5,5.10,0.0,,Trad,Southwest Virginia,Virginia
Beached Wall L,V5,5.0,,Boulder,Patapsco State Park,Maryland
Beached Whale L,V5,4.0,,Boulder,Patapsco State Park,Maryland
Scarlet Sunset,5.4,2.7,1,Sport,Golden,Colorado
South Face Gothics Direct,5.10d PG13,4.5,3,Trad,Adirondacks,New York
El Navigante,V5,5.0,,Boulder,Central-West Cascades & Seattle,Washington
The Sickle,V4,2.0,,Boulder,Lakes Region,New Hampshire
Ain't Nobody Here But Us Chickens,5.8 PG13,3.0,1,Trad,North America,International
Claim Jumper,V4,4.0,,Boulder,"Central-East Cascades, Wenatchee, & Leavenworth",Washington
The Tree of Knowledge,5.12a,4.0,,Sport,Western Coastal Slope,Connecticut
Hemlock Crack,5.9,2.0,1,Trad,Shenandoah National Park,Virginia
Pegleg,5.7,1.5,1,Trad,Joshua Tree National Park,California
Poodle Slab,V0,2.0,,Boulder,Independence Pass,Colorado
Le Diedre Sud,5.9+ PG13,5.0,4,Sport,Europe,International
Stephie Pockets,V4,3.0,,Boulder,Grand Junction Area,Colorado
Crawl Along the Watchtower,5.8 PG13,3.5,8,"Trad, Alpine",Grand Teton National Park,Wyoming
Slab of the Greencoats,5.4,2.5,1,TR,Powerlinez,New York
The Fledgling,5.11b/c,3.0,1,Sport,Fort Collins,Colorado
Standard Route,5.8,4.0,1,Trad,Sheep Mountain,Montana
Risky Pass,5.10c,3.7,2,Sport,Central Oregon,Oregon
Marmot Queen,5.3,2.0,1,TR,South Platte,Colorado
Unloaded,5.11c,3.0,1,Sport,West Desert,Utah
Refiner,5.12a,3.7,1,Sport,West Desert,Utah
ID Chimney,5.9,3.0,1,Trad,Independence Pass,Colorado
Problem H,V1,2.0,,Boulder,Sierra Eastside,California
Problem D,V-easy,2.0,,Boulder,Sierra Eastside,California
Slot Machine,V1,4.0,,Boulder,Northern Arizona,Arizona
Red Line Traverse,V1-2,3.0,1,Boulder,Adirondacks,New York
Indigo Line,V1-2,2.0,1,Boulder,Adirondacks,New York
Pass the Basalt,5.10a,3.0,,Trad,Taos Area,New Mexico
Casino Royale,5.10c/d PG13,5.0,2,Sport,Europe,International
Papou,5.10b/c,4.0,1,Sport,Europe,International
Stemming Matters,V6,4.5,,"Boulder, Alpine",Georgetown,Colorado
Cocksure,5.7,3.0,1,Sport,North America,International
Chimney,V0+,2.0,,Boulder,San Jacinto Mountains,California
The Paisley Buttress,5.5,4.0,5,"Trad, Alpine",Tahquitz & Suicide Rocks,California
Massacre,5.10a,3.0,1,Sport,Europe,International
Scooptonite,5.11-,4.0,1,Sport,Eastern Big Horns,Wyoming
Satan Slab,V4-5,3.0,,Boulder,Adirondacks,New York
Route 1 Upper Wall,5.8,3.0,,"Sport, Alpine",Anchorage & South Central Alaska,Alaska
Unknown 2,V4+,3.0,,Boulder,Adirondacks,New York
Spring Fling,5.8,2.5,1,Trad,Anchorage & South Central Alaska,Alaska
Crystal Blue Persuasion,5.7 R,4.5,2,Sport,Lake Tahoe,California
Redrum,5.5,3.0,2,Trad,Adirondacks,New York
Crystal Crescent,5.10a/b,5.0,1,Sport,Lake Tahoe,California
Naptime,5.9,4.0,1,Trad,Lake Tahoe,California
Ides of Fall,5.8,3.0,1,"Sport, TR",Lake Tahoe,California
Kriegsmarine,5.10,3.0,1,Sport,South Platte,Colorado
The Condor,5.12a,3.0,,Sport,WM: Bartlett / Jackson Area,New Hampshire
Project,5.12d,5.0,,Sport,WM: Bartlett / Jackson Area,New Hampshire
Dead of Summer,V6-,3.0,,Boulder,Spring Pond Woods,Massachusetts
Project,V8-9,4.0,,Boulder,CT Bouldering,Connecticut
Storky's,5.9,3.0,,Trad,WM: Bartlett / Jackson Area,New Hampshire
Termite Be Your Last Step,V5,3.0,,Boulder,Africa,International
One for the Boys,5.9 PG13,3.0,1,Trad,Adirondacks,New York
Alternator Adventure,5.10-,3.0,,TR,Taos Area,New Mexico
Le Cypres,5.7,3.0,1,"Sport, Alpine",Europe,International
Lower Highway to Heaven,5.8,4.7,8,"Trad, Alpine",Grand Teton National Park,Wyoming
Split Peas,V1,2.5,,Boulder,New York City,New York
Dusting from Heaven,5.11-,3.0,1,Sport,Southeast Cascades & Yakima,Washington
A Horse Named Mystery,V3 PG13,4.5,,Boulder,Central Coast,California
Witness the Dickness,5.11c/d PG13,4.0,,TR,Lake Tahoe,California
Thumbs Down,5.11b,2.0,1,"Sport, Alpine",Lost River Range,Idaho
No Seat in Hell,5.11c,4.0,,Sport,Lander Area,Wyoming
The Whipple Procedure,V5,2.0,,Boulder,North America,International
Fear the Animal,5.13+,4.0,1,Sport,Ouray vicinity (rock),Colorado
Eaglet,5.10,2.3,1,Sport,Mt. Hood,Oregon
"Life is a Cross Through: Between Latinxs, Rainbows and Love",5.12a,5.0,,"Sport, TR","Plymouth, Endless Wall Traverse",Minnesota
Rattle Can,5.10-,4.0,1,Sport,West Desert,Utah
Olly Olly Oxen Free,V4,3.0,,Boulder,Grand Junction Area,Colorado
Rope Dick,5.7,3.0,1,"Trad, TR",Asia,International
Lightning in a Bottle,5.11+,5.0,1,Sport,Fort Collins,Colorado
Ian's Project,5.14,5.0,2,Sport,Fort Collins,Colorado
Southwest Ridge,5.6,2.0,1,Trad,Adirondacks,New York
Peace Dance,5.11d,5.0,,Sport,Lake Tahoe,California
Critical Crystal,5.11,0.0,,TR,Red River Gorge,Kentucky
Buzzards Breakfast,5.9+ PG13,2.0,1,TR,San Francisco Bay Area,California
Wave of wallabies,V7,2.0,,Boulder,Sierra Eastside,California
Town Drunk,5.9,2.8,1,Sport,Sierra Eastside,California
Wind Walker,5.8 R,4.0,4,Trad,Sweetwater Rocks,Wyoming
Top Gun,5.11,3.5,1,Trad,Moab Area,Utah
Something for Dad,5.11a PG13,4.0,1,Sport,Independence Pass,Colorado
"""Ahab the Arab""",WI3,2.7,1,"Trad, Ice",Adirondacks,New York
Sheik of the Burning Sands,WI4-,4.0,1,"Trad, Ice",Adirondacks,New York
Are You Experienced Traverse,V10,4.0,,Boulder,San Francisco Bay Area,California
Cradle of Filth,5.9,4.0,,Sport,North America,International
Po Damn Democats,5.6,3.0,1,Trad,South Platte,Colorado
Bench Warmers,V1,2.5,,Boulder,*Pawtuckaway,New Hampshire
The Wrinkle,5.9+,3.0,1,"Trad, Alpine","Jungle, on the Aquarius Plateau",Utah
F**k the Crystal,V3,3.0,,Boulder,"Central-East Cascades, Wenatchee, & Leavenworth",Washington
Evil Petting Zoo,V4,2.0,,Boulder,"Central-East Cascades, Wenatchee, & Leavenworth",Washington
Get Wet,V2 PG13,4.0,1,Boulder,Ashby Area,Massachusetts
Micro Minnie,5.13c,4.0,,Sport,North America,International
MPB (Male Pattern Baldness) - Open,V2,0.0,,Boulder,Bangor Bouldering,Maine
Choking on Toothpaste,V-easy,2.0,,Boulder,San Bernardino Mountains,California
Nightcrawler,5.7,2.0,1,Trad,Homestake Pass,Montana
Master P,5.13a,4.0,1,Sport,Rifle,Colorado
Hobbes,5.11c,5.0,,Sport,North America,International
Pescadero,5.8,3.2,1,Sport,Lake Tahoe,California
?,V-easy,3.0,,Boulder,Europe,International
The Awakening- AKA Woodpecker Protrusion Direct,5.9+,5.0,1,Trad,The Needles Of Rushmore,South Dakota
Checkerboard Wall,5.10,0.0,1,Trad,City of Rocks,Idaho
Rat Crack,5.10a,0.0,,Trad,City of Rocks,Idaho
Ridge with a View,5.8,2.0,2,Trad,Wasatch Range,Utah
Welcome to Easter Island,5.7,4.0,,"Trad, Alpine",Anchorage & South Central Alaska,Alaska
Birdman Cult,5.9+,4.0,,"Trad, Alpine",Anchorage & South Central Alaska,Alaska
Nada III,V2,3.0,,Boulder,San Jacinto Mountains,California
Southern Drawl,5.4,3.0,1,TR,Whipps Ledges,Ohio
Got it licked,5.7,3.0,1,Sport,The New River Gorge,West Virginia
No Glory,5.8,3.0,,Trad,Wasatch Range,Utah
Spanish Inquisition,5.12b,4.0,,"Trad, TR",Lake Tahoe,California
Grilled Cheese,V0,1.9,,Boulder,*Pawtuckaway,New Hampshire
Alpha Dog,5.9+,3.0,1,Sport,Red River Gorge,Kentucky
Pitt Bull,V5,4.0,,Boulder,Thunder Hill Boulders,North Carolina
Tipsy Tinker,V5,5.0,,Boulder,Ice Pond,New York
Danger City,V2 PG13,3.5,,Boulder,Morgan Run NEA,Maryland
Domino,5.10a PG13,4.3,1,Sport,Mulkey Gulch,Montana
?,5.4,2.0,,Sport,Europe,International
Blood on the Cracks,5.10,4.0,1,Trad,Willamette Valley,Oregon
The Adventure Route Second Pitch,5.11d,5.0,1,Sport,Cedar City,Utah
Butterfly,5.9,3.0,,Sport,Europe,International
East Rib,5.9- PG13,3.0,2,Trad,Custer State Park,South Dakota
Blue Steel,5.10a,3.0,,Sport,Great North Woods Region,New Hampshire
Hot Wheels,5.9,2.0,1,Sport,Lyons,Colorado
Mancation,5.10a,4.0,,Sport,Great North Woods Region,New Hampshire
High Traverse,V4,4.0,,Boulder,The Gunks,New York
Kruise,5.6,3.0,1,TR,Powerlinez,New York
Changing Tides,V6-7 PG13,3.5,,Boulder,Southern NH and Seacoast,New Hampshire
No bolts,5.11a,4.0,1,TR,North America,International
Psycho Babble,5.12a,4.0,,Sport,The New River Gorge,West Virginia
Luciferin,5.9,4.0,1,Trad,Linville Gorge,North Carolina
Lincoln Logs,V-easy,2.0,,Boulder,South Platte,Colorado
Spider,V0,2.0,,Boulder,South Platte,Colorado
Right Gold Crack,V5,4.0,,Boulder,San Jacinto Mountains,California
Slippery Salamander,V3,3.0,,Boulder,South Platte,Colorado
The Wizard,V6-7,1.0,,Boulder,*Pawtuckaway,New Hampshire
South Buttress,5.9,3.0,1,Trad,Colorado Springs,Colorado
Sorcerer of Death's Construction,5.10d,4.0,1,Trad,City of Rocks,Idaho
Tripwire,V0,2.0,,Boulder,South Platte,Colorado
Rampart Rebel,V4,4.5,,Boulder,South Platte,Colorado
Crack Seam,5.12-,3.0,1,Sport,Eagle/Vail/Minturn/Red Cliff,Colorado
Cuckold,5.10a,4.0,1,Sport,North America,International
Look Both Ways,5.6,3.5,1,"Trad, TR",North America,International
Shits and Giggles,V1,3.0,,Boulder,New York City,New York
Lockjaw,5.12b,3.5,1,Sport,Golden,Colorado
The Way of the Bull,5.11,4.0,,Trad,Central Oregon,Oregon
Nicotine,5.10,4.0,1,Trad,South Platte,Colorado
Down in a hole,V6 PG13,5.0,,"TR, Boulder",North America,International
Rib stem,5.11d,4.0,,"Sport, TR",Central-West Cascades & Seattle,Washington
John's Problem,V5+ PG13,4.0,,Boulder,*Pawtuckaway,New Hampshire
Club Tropicana Coconuts,5.11d,4.0,1,Sport,Africa,International
Square Cut,V2,4.0,,Boulder,North America,International
Any Rock'll Do,V1,4.0,,Boulder,North America,International
Down Climb,V-easy,2.0,,Boulder,The De Coppet Estate,Rhode Island
Wall Flower,V1,4.0,,Boulder,The De Coppet Estate,Rhode Island
First Thought,5.8,4.0,1,Sport,North America,International
Friction first love later,5.10b,3.0,,Sport,North America,International
Impermanence,V2,3.0,,Boulder,Grand Junction Area,Colorado
Fat Jacket,5.10a,3.0,,Sport,Mount Charleston,Nevada
Two Hotdogs and a Hallway,5.10 C1+ PG13,2.0,7,"Trad, Aid",Moab Area,Utah
Let's Barbecue,5.11b,4.0,,Trad,Central-West Cascades & Seattle,Washington
T-Crack,V8,5.0,,Boulder,Europe,International
Soft on the G,V7-8,4.0,,Boulder,Europe,International
7 Ball,V5,5.0,,Boulder,Europe,International
Un Petite Hueco dans Rocklands,V8,5.0,,Boulder,Africa,International
Maties,V6,4.0,,Boulder,Africa,International
Young Jedi,5.10a,1.0,,Sport,Mt. Hood,Oregon
Four Eyed Blues,V4,2.8,,Boulder,*Pawtuckaway,New Hampshire
Sharp Teeth,5.6,3.0,1,"Trad, TR",North America,International
The Beckoning SDS,V6,4.0,,Boulder,Africa,International
Littlest Mermaid,5.8,3.0,,Trad,Wichita Wildlife Refuge,Oklahoma
Grow Up,V2,3.0,,Boulder,Lincoln Woods,Rhode Island
Loud Pipes Save Lives,5.11a,4.0,1,Sport,Northeast Corner & Spokane,Washington
Unknown 1,5.8,1.0,,Sport,North America,International
R 3a,5.7+,2.0,,Sport,Europe,International
R 8,5.3,4.0,,Sport,Europe,International
Cat in the Hat,5.10-,0.0,,Sport,Cooks Wall,North Carolina
Crash Landing,5.10,3.0,,Trad,Wichita Wildlife Refuge,Oklahoma
Frosted Flakes,V3,4.0,,Boulder,South Platte,Colorado
Sumo Wrestler,V5,4.0,,Boulder,North America,International
The Green Mile,5.8,4.0,5,Trad,Great North Woods Region,New Hampshire
Backtrack,V2,3.0,,Boulder,North America,International
Made in the Shade,V1,3.7,,Boulder,North America,International
Memory Hotel,V2,3.5,,Boulder,North America,International
Under the Staircase,V1,4.0,,Boulder,North America,International
Lookout! It's 10d,5.10b,3.7,1,Sport,Kootenai Canyon,Montana
North Overhang Left,5.12,2.0,1,TR,Boulder,Colorado
Fuzzy Chunks,V1,3.0,,Boulder,Spring Pond Woods,Massachusetts
Poetry Slam,V3,3.0,,Boulder,Spring Pond Woods,Massachusetts
Spider Man,5.10a/b,4.0,,Sport,Europe,International
Back Side Unknown 4,5.7,3.0,1,Trad,Vedauwoo,Wyoming
Arch Classic,V2,3.0,,Boulder,Eden Park,Ohio
Pigeon Nest Crack,5.10d,1.0,1,Trad,Vedauwoo,Wyoming
Banda,5.8 PG13,3.0,4,Trad,North America,International
Wrinkled Glass,5.8,2.0,1,Trad,Boulder,Colorado
Leftmost,5.11,4.0,1,Sport,Lyons,Colorado
Dreamin,5.10b,2.0,1,Sport,Mt. Hood,Oregon
Cool Colorado Rain,5.6,3.0,1,Sport,10 Mile Canyon,Colorado
Scared Peaches,5.12a,5.0,,Trad,North America,International
Frequent Flyer,5.13b,4.0,,"Sport, TR",North America,International
The Mickey's Beach 4x7,5.12,3.0,7,Sport,San Francisco Bay Area,California
Moving to Montana,5.11a PG13,5.0,4,Trad,North America,International
Streaker,5.11c,3.5,,Sport,Northwest Region,Washington
Charybdis,V7-8,4.0,,Boulder,Morrison/Evergreen,Colorado
Radio Nowhere,5.5 X,2.0,4,Trad,Katahdin,Maine
Ramp Mantle,V0,2.0,,"Boulder, Alpine",Grand Teton National Park,Wyoming
Southeast Arete,V1-,2.0,,"Boulder, Alpine",Grand Teton National Park,Wyoming
Gigantic,5.10d,2.0,,Sport,WM: Bartlett / Jackson Area,New Hampshire
Rodney King,V1-2,5.0,,Boulder,Redwood Coast,California
Underclass Hero,V0,3.0,,Boulder,South Platte,Colorado
Bovine Feces,V-easy,2.0,,Boulder,South Platte,Colorado
Unnamed Crack,V3-,2.0,,Boulder,San Jacinto Mountains,California
Jug City,5.10 R,1.0,1,Trad,City of Rocks,Idaho
Tsunami,5.9,3.0,,Sport,Asia,International
Flying Titanium Fingies,5.12d,3.0,1,Sport,North America,International
The Philosophers Stone,5.12d,5.0,1,Sport,Central Oregon,Oregon
Battlemount Blitz,V4,4.0,,Boulder,Eden Park,Ohio
Attack of the 5 Foot Woman,5.6,3.0,,"Trad, TR",Eastern Highlands,Connecticut
Vigilante,5.7+,2.5,1,Trad,Custer State Park,South Dakota
The Staircase,3rd,2.0,1,Trad,Acadia National Park,Maine
Bighorn,5.10b,3.0,4,"Trad, Alpine",Sierra Eastside,California
Top Guy,V0-,2.0,,Boulder,Hueco Tanks,Texas
Battle Above the Clouds,5.9,0.0,,Trad,Sunset Park,Tennessee
Jamais Vu,V1,3.0,,Boulder,Grand Junction Area,Colorado
Cluckers variation,5.10+,4.0,1,"Trad, TR, Alpine",Lost River Range,Idaho
2 pour 1,5.5,3.0,1,Sport,North America,International
Rightway,5.11+,4.0,,Trad,Central Oregon,Oregon
Dream Catcher,5.12-,3.0,1,TR,Lake Tahoe,California
Unnamed Crack,5.7,3.0,1,Trad,Sierra Eastside,California
My Mutt Is Smarter Than Your Honor Student,5.10b,4.0,1,"Trad, Alpine",Sierra Eastside,California
The Usual Suspects,5.11c,4.0,1,Sport,Ouray vicinity (rock),Colorado
The Seven Dwarfs,5.11a,4.0,1,Sport,Ouray vicinity (rock),Colorado
Crise d'octobre,5.12a,0.0,1,Sport,North America,International
Unknown,5.9,3.0,1,Sport,Wasatch Range,Utah
Pee Wee,5.7,3.0,1,Trad,North America,International
Sketchfest Corner,V0,2.0,,"TR, Boulder",Africa,International
Beetlegeuse,5.12b/c,3.0,,Sport,Lake Tahoe,California
"""The"" WARM-UP!",5.11c/d,5.0,,Sport,Lake Tahoe,California
Altered Carbon,5.12c/d,4.0,,Sport,Lake Tahoe,California
Getting Slightly Higher,5.13c,5.0,,Sport,Willow River State Park,Wisconsin
Summer Chimney,5.6,3.0,3,"Trad, Alpine",WM: Pinkham / Presidentials,New Hampshire
Snaked,5.11b,4.2,1,Sport,Wasatch Range,Utah
Navgrin,5.9,3.3,1,Sport,Willamette Valley,Oregon
Practice Slab,5.4,2.0,1,"Trad, TR",Rattlesnake Rocks,Massachusetts
"I'm a Lead Farmer, Motha' Fucker",5.11b,3.8,1,Sport,Lander Area,Wyoming
Tide Pool,V0,4.0,,Boulder,Morrison/Evergreen,Colorado
Bottle of Rum,V3,4.0,,Boulder,Narragansett,Rhode Island
Wanda,5.10d,3.0,1,Sport,San Bernardino Mountains,California
Uncultured Swine,5.3,2.0,1,Trad,San Bernardino Mountains,California
Pyramidal Traverse,5.4,0.0,,"Trad, Alpine",Alpine Rock,Colorado
East Face,5.11-,5.0,,"Trad, Alpine",North America,International
Lines of Lattitude,V1+,4.0,,Boulder,Central-West Cascades & Seattle,Washington
No Man Knows the Hour,5.10d,4.0,1,Sport,Central Coast,California
Nebula,V4-5,3.0,,Boulder,Southwest Virginia,Virginia
Everywhere's a route!,WI3-4,4.0,,"TR, Ice, Alpine",Wrangell St. Elias NP,Alaska
The Twist (Creekside Boulder),V5,2.0,,Boulder,Los Angeles Basin,California
Little 'Un,V1,3.0,,Boulder,Los Angeles Basin,California
First Born,5.12b,3.0,1,Sport,Ouray vicinity (rock),Colorado
Monkey Circus Freak,V3,0.0,,Boulder,Pocatello Area Bouldering,Idaho
Long-stemmed Rose,5.10-,4.0,,Trad,North America,International
Candy Corns,V3,3.5,,Boulder,Sierra Eastside,California
Runnin' Ragged,5.11b,5.0,1,Trad,Adirondacks,New York
Chimney Left Face,5.4,2.0,,Trad,Interstate State Park,Wisconsin
Black poyson wood,5.12a R,4.0,,TR,North America,International
Bar Exam,V6,4.0,,Boulder,North America,International
Palminator,V4,4.0,,Boulder,North America,International
Vision Quest,5.9,3.0,1,Trad,North America,International
Pee Stream,5.10- R,3.0,,Trad,North America,International
Dirty Left Hook,5.6,2.6,,TR,Indian Seats,Georgia
Dude Biscuit,5.9,3.0,1,Sport,South Platte,Colorado
Sergeant Joe Friday,V2,2.0,1,Boulder,Portland & The Gorge,Oregon
Pitty Da Fool,5.12c,0.0,,Sport,Redwood Coast,California
Sit Down and smoke me,V3+,3.0,,Boulder,Table Rock,Idaho
The Language of Play,V1,3.0,,Boulder,Grand Junction Area,Colorado
Sari Charlie,V5-6,4.0,,Boulder,Swan Falls,Idaho
Projet,5.13,0.0,1,Sport,North America,International
The Seraphim Nachash,5.11c,4.8,1,Sport,Willamette Valley,Oregon
Wave Hugging,V4,4.0,,Boulder,Morrison/Evergreen,Colorado
Egyujjas,5.5,0.0,,Trad,Europe,International
Nagy Lajos,5.7,0.0,,Trad,Europe,International
Unknown,5.6,3.0,1,Sport,San Bernardino Mountains,California
Bat Corner (AKA Red Corner),5.9,3.0,1,"Trad, TR",Grand Junction Area,Colorado
Shoulda Worn My Wranglers,V1,2.0,,Boulder,3 Fingers Bay,Oklahoma
Instant Priviledge,V1,3.0,,Boulder,3 Fingers Bay,Oklahoma
Lightning Bolt Crack,5.11,5.0,1,Trad,Gunnison,Colorado
Yaniro Exit,V7,3.0,,Boulder,Twin Falls and the Snake River Canyon,Idaho
Right of Revert to Pervert,5.9,5.0,1,Sport,Laramie Range,Wyoming
Traction Splint,5.9 R,2.0,1,Trad,Bolton Area,Vermont
Fire Up Low,V3,4.0,,Boulder,North America,International
Punk Kids Outreach Program,V1,4.0,,Boulder,Africa,International
Route number 1,5.9+,3.0,1,"Sport, Alpine",Anchorage & South Central Alaska,Alaska
Route number 7,5.11a,4.7,1,"Sport, Alpine",Anchorage & South Central Alaska,Alaska
To Slot or Not,V1,4.0,,Boulder,Athens,Ohio
Man Hands,V1-,4.0,,Boulder,Southern NH and Seacoast,New Hampshire
Powder House Flake,5.6,3.0,1,TR,Powder House Crag,Massachusetts
Overlord,5.11d,3.5,1,Sport,Black Cliffs,Idaho
O'Ryan's Belt,5.8,3.0,,"Trad, TR",Adirondacks,New York
Turd Humping,V4,3.0,,Boulder,Fairbanks and Vicinity,Alaska
A Double Edged Sword,V2,4.0,,Boulder,Fort Collins,Colorado
Dragon's Rib,5.8,3.5,1,TR,Powerlinez,New York
Kelp Bed Freak Show,5.11a,2.0,1,Sport,Boulder,Colorado
Take A Shower,5.7 PG13,3.0,1,"Trad, TR",North America,International
Speed Of Life,5.12b R,3.5,1,Trad,Wasatch Range,Utah
JMPT,5.8,4.0,2,Trad,Buena Vista,Colorado
Dumpster Diving,5.6 PG13,2.0,1,"Trad, TR",North America,International
PB and Jam,5.9 PG13,3.0,1,"Trad, TR",North America,International
Don't Touch My Dreads,5.11b,4.0,1,Sport,Sierra Eastside,California
Oriface,5.10b,4.0,1,Trad,Central Oregon,Oregon
Auf Messers Schneide,5.10a,3.0,,Sport,Europe,International
Soley Action 1,5.10b/c,4.0,,Sport,Asia,International
Waining Strength,5.12-,3.0,1,TR,Great Falls - Maryland Side,Maryland
Over the Falls  1,5.8,3.0,1,Sport,Twin Falls and the Snake River Canyon,Idaho
Over the Falls  2,5.9,3.0,1,Sport,Twin Falls and the Snake River Canyon,Idaho
Shallow Water Dyno,V3+,0.0,,Boulder,Berea Falls,Ohio
Max Attacks,V3,2.0,,Boulder,"Central-East Cascades, Wenatchee, & Leavenworth",Washington
Slicer,5.8,2.0,1,"Trad, TR",Rattlesnake Rocks,Massachusetts
Supermang Overhang,5.11- V2,3.0,1,"Trad, Boulder",Great Falls - Maryland Side,Maryland
Funkytown,5.9,3.0,1,Trad,Mt. Hood,Oregon
Le Toit Direct,5.8,2.0,1,Trad,Tahquitz & Suicide Rocks,California
Electric Cousin Right,5.9+,3.0,,Trad,Northern Arizona,Arizona
Hands Down,5.11-,4.0,,Trad,Northern Arizona,Arizona
Naked Hysteria,V3,3.0,,Boulder,Grand Junction Area,Colorado
Library of Babel,V3,3.0,,Boulder,Grand Junction Area,Colorado
Emotional Straightjacket,5.10+,3.0,,Trad,Northern Arizona,Arizona
