rating,stars,pitches,type,city,state
Card Shark,5.12b/c,2.5,1,Sport,Golden,Colorado
Skin Flint,5.10c/d,2.0,1,TR,Denver South,Colorado
2nd Apron Right Side,5.7,3.7,6,"Trad, Alpine",Alpine Rock,Colorado
Law School,5.8,2.9,1,Sport,Estes Park Valley,Colorado
Mountaineer's Route,5.5,2.1,3,Trad,Boulder,Colorado
Sugar Glider,5.8,2.5,,Trad,Boulder,Colorado
Home Free,5.11b,3.5,,Trad,Boulder,Colorado
A Cut Above,5.12a,2.1,1,"Trad, TR",Boulder,Colorado
Sunset Dihedral,5.9,2.0,2,Trad,Estes Park Valley,Colorado
Clan Of The Goatmen,5.11c,2.8,1,Sport,Empire,Colorado
Eliminator North Slab Right,V1 R,2.8,,Boulder,Fort Collins,Colorado
The Offset,5.9+ R,4.1,1,"Trad, TR",Boulder,Colorado
Diamond In The Rough,5.10a,2.5,1,Trad,Boulder,Colorado
Air Gilman,5.11c,3.0,,Sport,Eagle/Vail/Minturn/Red Cliff,Colorado
Facets,5.10c,3.0,,Trad,Boulder,Colorado
Da Fly,5.13b,3.2,1,Sport,Canon City,Colorado
Mickey Mouse Nailup,5.9+ R,3.1,2,Trad,Boulder,Colorado
East Side,5.8+,3.9,2,Trad,Estes Park Valley,Colorado
Carpe Diem,5.10c R,2.5,,"Trad, Sport",South Platte,Colorado
Baditude,5.10d,2.5,1,Sport,Boulder,Colorado
South Ridge,5.2,3.6,,Trad,Boulder,Colorado
Almost Gothic,5.11d,4.0,1,Sport,Canon City,Colorado
Direct,5.7,3.2,5,Trad,Estes Park Valley,Colorado
Knuckle Sandwich,5.10+,2.0,1,Trad,Coal Creek Canyon,Colorado
Diatribe,5.10 X,3.2,1,TR,Boulder,Colorado
Lucid Dreaming,5.12c/d,4.7,1,Sport,Boulder,Colorado
Block Party,5.10a,3.8,1,Sport,Canon City,Colorado
Billy,5.11b,3.6,1,Sport,Golden,Colorado
Sportin' a Woodie,5.11c,3.0,1,Sport,Boulder,Colorado
North Slab Right Overhang,V2,3.8,,Boulder,Fort Collins,Colorado
Phaedra,5.11c R,2.3,,"Trad, TR",Boulder,Colorado
Spike Arete,V2,2.6,,Boulder,Morrison/Evergreen,Colorado
West Face [Extension Boulder],V3,4.5,,Boulder,Fort Collins,Colorado
Lancet,5.10d,2.8,,Sport,Estes Park Valley,Colorado
Rift Of Consciousness,5.11- R,2.5,1,"Trad, TR",Boulder,Colorado
Leader of the Pack,5.11c/d,3.0,1,"Trad, Sport, TR",Boulder,Colorado
Lady Liberty,5.10,5.0,3,Trad,South Platte,Colorado
Chain Reactor,V2,2.9,,Boulder,Fort Collins,Colorado
SW Arete,V3,3.3,,Boulder,Fort Collins,Colorado
Sunstar,5.9 R,3.0,4,Trad,Boulder,Colorado
Petite Giraffe,5.9,2.0,,Trad,Boulder,Colorado
Challenges of Leisure aka Wake of the Flood,5.13a,4.2,1,Sport,Boulder,Colorado
Talent Scout Standard,V2+,3.4,,Boulder,Fort Collins,Colorado
Mounty,5.8-,3.1,1,Trad,Golden,Colorado
"Rise Above, aka Mr. Malcontent",5.12a,4.2,,"Trad, Sport",Boulder,Colorado
French Fry,5.12b,3.5,,"Trad, Sport",Boulder,Colorado
Journey Home,5.10a/b,4.7,,Trad,Gunnison,Colorado
Tempest,V9,4.4,,Boulder,Vedauwoo,Wyoming
North Face V5 (East Twin),V5,3.0,,Boulder,South Platte,Colorado
South Ridge,5.6,2.5,,Trad,Colorado Springs,Colorado
Avalon Rising,5.12b,3.7,1,"Trad, Sport, TR",Boulder,Colorado
The Velvet Arete aka Premonition,5.8+ PG13,3.0,1,Trad,Boulder,Colorado
South Ridge [better known as Chase the Sun],5.4,3.6,,Trad,Boulder,Colorado
Charley Don't Surf,5.10d,4.7,,Trad,South Platte,Colorado
Elanor,5.11d,4.1,1,Sport,Boulder,Colorado
South Ridge,,3.9,,"Trad, Alpine",Alpine Rock,Colorado
The Flying Buttress,5.10a,4.7,6,"Trad, Alpine",Alpine Rock,Colorado
Rhode Island Red,5.10a,3.4,1,Trad,Estes Park Valley,Colorado
The Men Arete,5.9-,3.1,1,Sport,Colorado Springs,Colorado
Taylor Glacier,,3.7,,Trad,CO Ice & Mixed,Colorado
Shear Strength,5.11b/c,4.5,1,Sport,San Luis Valley,Colorado
Bedtime Story,5.10b,2.9,1,Sport,Boulder,Colorado
Slut,5.7,2.4,1,"Trad, TR",Vedauwoo,Wyoming
Crystal Balls,5.10b X,4.0,3,Trad,Estes Park Valley,Colorado
Cornelius,5.5,3.6,1,Trad,Vedauwoo,Wyoming
Headline,5.10a,3.7,1,"Trad, Sport",Golden,Colorado
The Collective,V1,2.5,,Boulder,Boulder,Colorado
Mighty Arete aka Dicey Prow,V5,4.0,,Boulder,Fort Collins,Colorado
Spacewalking Right,V0,2.0,,Boulder,Boulder,Colorado
Starlight,,2.5,10,"Trad, Alpine",Alpine Rock,Colorado
Dunn Westbay,5.10 C3,5.0,10,"Trad, Aid, Alpine",Alpine Rock,Colorado
Sundog,5.12a,3.4,1,Sport,Boulder,Colorado
Star Track,5.8,1.7,1,"Trad, TR",Boulder,Colorado
Katie's Route,5.6,2.8,1,Sport,Estes Park Valley,Colorado
The Collective Direct,V4,3.0,,Boulder,Boulder,Colorado
No Regret,5.11c,4.0,1,Sport,San Luis Valley,Colorado
Thick Crust,5.7,2.1,1,Trad,Golden,Colorado
Northeast Arete,5.7 R,2.3,1,Trad,Boulder,Colorado
Eat Cat Too,5.11b X,2.5,1,TR,Boulder,Colorado
Supergoat,5.11+,2.3,1,Sport,Empire,Colorado
Crooked Cross,5.9+,4.2,2,Trad,Lyons,Colorado
Journey Through Mirkwood,5.11b/c,3.0,,Trad,Gunnison,Colorado
West Face [3rd Flatrion],5.10b PG13,3.0,1,Trad,Boulder,Colorado
Ramayana Story,5.11a,3.3,1,"Sport, TR",Gunnison,Colorado
Genuine Risk,5.10c PG13,3.0,1,Trad,Boulder,Colorado
Bloody Fingers R Us,V2,3.0,,Boulder,Denver South,Colorado
The Pollinator,5.12a,3.0,1,Sport,Rifle,Colorado
Angle of Repose,5.11d,4.3,2,Sport,Boulder,Colorado
West Face,5.5,2.7,2,Trad,Boulder,Colorado
Candy Ass,5.12c,4.5,1,,South Platte,Colorado
Dark Side of the Moon,V1,3.0,,Boulder,Boulder,Colorado
Boardwalk,5.11b,4.7,2,Trad,Vedauwoo,Wyoming
Back at the Ranch,5.11c/d,3.0,1,Sport,South Platte,Colorado
